SMILES,FORMULA,DRUGBANK_ID,GENERIC_NAME
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,DB00126,Ascorbic acid
NCCCNCCCCNCCCN,C10H26N4,DB00127,Spermine
N[C@@H](CC(O)=O)C(O)=O,C4H7NO4,DB00128,Aspartic acid
NCCC[C@H](N)C(O)=O,C5H12N2O2,DB00129,Ornithine
N[C@@H](CCC(N)=O)C(O)=O,C5H10N2O3,DB00130,L-Glutamine
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,C10H14N5O7P,DB00131,Adenosine phosphate
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,C18H30O2,DB00132,alpha-Linolenic acid
N[C@@H](CO)C(O)=O,C3H7NO3,DB00133,Serine
CSCC[C@H](N)C(O)=O,C5H11NO2S,DB00134,Methionine
[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O,C9H11NO3,DB00135,Tyrosine
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C27H44O3,DB00136,Calcitriol
C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O2,DB00137,Lutein
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,C6H12N2O4S2,DB00138,Cystine
OC(=O)CCC(O)=O,C4H6O4,DB00139,Succinic acid
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,C17H20N4O6,DB00140,Riboflavin
[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,C8H15NO6,DB00141,N-Acetylglucosamine
N[C@@H](CCC(O)=O)C(O)=O,C5H9NO4,DB00142,Glutamic acid
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,C10H17N3O6S,DB00143,Glutathione
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,C42H82NO10P,DB00144,Phosphatidyl serine
NCC(O)=O,C2H5NO2,DB00145,Glycine
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O2,DB00146,Calcifediol
CC1=NC=C(CO)C(C=O)=C1O,C8H9NO3,DB00147,Pyridoxal
CN(CC(O)=O)C(N)=N,C4H9N3O2,DB00148,Creatine
CC(C)C[C@H](N)C(O)=O,C6H13NO2,DB00149,Leucine
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,C11H12N2O2,DB00150,Tryptophan
N[C@@H](CS)C(O)=O,C3H7NO2S,DB00151,Cysteine
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,DB00152,Thiamine
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C28H44O,DB00153,Ergocalciferol
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,C20H34O2,DB00154,Dihomo-gamma-linolenic acid
N[C@@H](CCCNC(N)=O)C(O)=O,C6H13N3O3,DB00155,Citrulline
C[C@@H](O)[C@H](N)C(O)=O,C4H9NO3,DB00156,Threonine
NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,C21H29N7O14P2,DB00157,NADH
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,DB00158,Folic acid
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H30O2,DB00159,Icosapent
C[C@H](N)C(O)=O,C3H7NO2,DB00160,Alanine
CC(C)[C@H](N)C(O)=O,C5H11NO2,DB00161,Valine
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C20H30O,DB00162,Vitamin A
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,C29H50O2,DB00163,Vitamin E
CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,DB00165,Pyridoxine
OC(=O)CCCC[C@@H]1CCSS1,C8H14O2S2,DB00166,Lipoic acid
CC[C@H](C)[C@H](N)C(O)=O,C6H13NO2,DB00167,Isoleucine
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,C14H18N2O5,DB00168,Aspartame
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O,DB00169,Cholecalciferol
CC1=CC(=O)C2=CC=CC=C2C1=O,C11H8O2,DB00170,Menadione
[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,C10H16N5O13P3,DB00171,ATP
OC(=O)[C@@H]1CCCN1,C5H9NO2,DB00172,Proline
NC1=C2NC=NC2=NC=N1,C5H5N5,DB00173,Adenine
N[C@@H](CC(N)=O)C(O)=O,C4H8N2O3,DB00174,Asparagine
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C23H36O7,DB00175,Pravastatin
COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,C15H21F3N2O2,DB00176,Fluvoxamine
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,C24H29N5O3,DB00177,Valsartan
[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C23H32N2O5,DB00178,Ramipril
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,C18H22O4,DB00179,Masoprocol
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,DB00180,Flunisolide
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,DB00181,Baclofen
CC(N)CC1=CC=CC=C1,C9H13N,DB00182,Amphetamine
CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,C37H49N7O9S,DB00183,Pentagastrin
CN1CCC[C@H]1C1=CN=CC=C1,C10H14N2,DB00184,Nicotine
CC1O[C@@]2(CS1)CN1CCC2CC1,C10H17NOS,DB00185,Cevimeline
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2,DB00186,Lorazepam
COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,C16H25NO4,DB00187,Esmolol
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,C19H25BN4O4,DB00188,Bortezomib
CCC(O)(\C=C\Cl)C#C,C7H9ClO,DB00189,Ethchlorvynol
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C10H14N2O4,DB00190,Carbidopa
CC(C)(N)CC1=CC=CC=C1,C10H15N,DB00191,Phentermine
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,C20H24N2O,DB00192,Indecainide
COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,C16H25NO2,DB00193,Tramadol
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H13N5O4,DB00194,Vidarabine
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,C18H29NO3,DB00195,Betaxolol
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,DB00196,Fluconazole
CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,C24H27NO5S,DB00197,Troglitazone
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,C16H28N2O4,DB00198,Oseltamivir
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C37H67NO13,DB00199,Erythromycin
[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],C62H89CoN13O15P,DB00200,Hydroxocobalamin
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,C8H10N4O2,DB00201,Caffeine
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C14H30N2O4,DB00202,Succinylcholine
CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,C22H30N6O4S,DB00203,Sildenafil
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,C19H27N3O5S2,DB00204,Dofetilide
CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,C12H13ClN4,DB00205,Pyrimethamine
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,C33H40N2O9,DB00206,Reserpine
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,C38H72N2O12,DB00207,Azithromycin
ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,C14H14ClNS,DB00208,Ticlopidine
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,C25H30NO3,DB00209,Trospium
COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,C28H28O3,DB00210,Adapalene
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,C12H18N2O4,DB00211,Midodrine
CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,C33H50N4O6S,DB00212,Remikiren
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,C16H15F2N3O4S,DB00213,Pantoprazole
CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,C16H20N4O3S,DB00214,Torasemide
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O,DB00215,Citalopram
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,C22H26N2O2S,DB00216,Eletriptan
CN\C(NCC1=CC=CC=C1)=N/C,C10H15N3,DB00217,Bethanidine
[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,C21H24FN3O4,DB00218,Moxifloxacin
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,C21H34NO3,DB00219,Oxyphenonium
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,C32H45N3O4S,DB00220,Nelfinavir
CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,C13H21NO3,DB00221,Isoetharine
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,C24H34N4O5S,DB00222,Glimepiride
[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H28F2O5,DB00223,Diflorasone
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,C36H47N5O4,DB00224,Indinavir
[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O,C16H26GdN5O8,DB00225,Gadodiamide
NC(N)=NCC1COC2(CCCCC2)O1,C10H19N3O2,DB00226,Guanadrel
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,C24H36O5,DB00227,Lovastatin
FC(F)OC(F)(F)C(F)Cl,C3H2ClF5O,DB00228,Enflurane
[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,C18H23N9O4S3,DB00229,Cefotiam
CC(C)C[C@H](CN)CC(O)=O,C8H17NO2,DB00230,Pregabalin
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,C16H13ClN2O2,DB00231,Temazepam
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,C9H11Cl2N3O4S2,DB00232,Methyclothiazide
NC1=CC(O)=C(C=C1)C(O)=O,C7H7NO3,DB00233,Aminosalicylic acid
[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,C19H23NO3,DB00234,Reboxetine
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,C12H9N3O,DB00235,Milrinone
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,C10H16Br2N2O2,DB00236,Pipobroman
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,C10H16N2O3,DB00237,Butabarbital
CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,C15H14N4O,DB00238,Nevirapine
ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,C18H13Cl4N3O,DB00239,Oxiconazole
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,C22H29ClO5,DB00240,Alclometasone
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,C11H16N2O3,DB00241,Butalbital
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,C10H12ClN5O3,DB00242,Cladribine
COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,C24H33N3O4,DB00243,Ranolazine
NC1=CC(C(O)=O)=C(O)C=C1,C7H7NO3,DB00244,Mesalazine
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,C21H25NO,DB00245,Benzatropine
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,C21H21ClN4OS,DB00246,Ziprasidone
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,C21H27N3O2,DB00247,Methysergide
[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,C26H37N5O2,DB00248,Cabergoline
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,C9H11IN2O5,DB00249,Idoxuridine
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,C12H12N2O2S,DB00250,Dapsone
CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C26H31Cl2N5O3,DB00251,Terconazole
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,C15H12N2O2,DB00252,Phenytoin
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,C22H32O3,DB00253,Medrysone
[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,C22H24N2O8,DB00254,Doxycycline
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,C18H20O2,DB00255,Diethylstilbestrol
[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,C29H38N4O10,DB00256,Lymecycline
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C22H17ClN2,DB00257,Clotrimazole
[Ca++].CC([O-])=O.CC([O-])=O,C4H6CaO4,DB00258,Calcium acetate
NC1=CC=C(C=C1)S(N)(=O)=O,C6H8N2O2S,DB00259,Sulfanilamide
N[C@@H]1CONC1=O,C3H6N2O2,DB00260,Cycloserine
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,C10H7Cl2N3O,DB00261,Anagrelide
ClCCNC(=O)N(CCCl)N=O,C5H9Cl2N3O2,DB00262,Carmustine
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,C11H13N3O3S,DB00263,Sulfisoxazole
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,C15H25NO3,DB00264,Metoprolol
CCN(C(=O)C=CC)C1=CC=CC=C1C,C13H17NO,DB00265,Crotamiton
OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,C19H12O6,DB00266,Dicoumarol
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C16H17N9O5S3,DB00267,Cefmenoxime
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,C16H24N2O,DB00268,Ropinirole
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,C23H21ClO3,DB00269,Chlorotrianisene
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,C19H21N3O5,DB00270,Isradipine
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,C11H9I3N2O4,DB00271,Diatrizoate
NCCC1=CC=NN1,C5H9N3,DB00272,Betazole
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,C12H21NO8S,DB00273,Topiramate
